I, [2021-03-15T07:30:54.909687 #7303]  INFO -- Kitchen: -----> Starting Test Kitchen (v2.10.0)
E, [2021-03-15T07:30:54.910540 #7303] ERROR -- Kitchen: ------Exception-------
E, [2021-03-15T07:30:54.910648 #7303] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2021-03-15T07:30:54.910715 #7303] ERROR -- Kitchen: Message: Kitchen YAML file /home/dmytro/Documents/CHEF/chef_ip/kitchen.yml does not exist.
E, [2021-03-15T07:30:54.910775 #7303] ERROR -- Kitchen: ----------------------
E, [2021-03-15T07:30:54.910833 #7303] ERROR -- Kitchen: ------Backtrace-------
E, [2021-03-15T07:30:54.910886 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2021-03-15T07:30:54.910939 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/config.rb:153:in `data'
E, [2021-03-15T07:30:54.910994 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/config.rb:131:in `suites'
E, [2021-03-15T07:30:54.911046 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/config.rb:183:in `filter_instances'
E, [2021-03-15T07:30:54.911101 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/config.rb:142:in `build_instances'
E, [2021-03-15T07:30:54.911154 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/config.rb:116:in `instances'
E, [2021-03-15T07:30:54.911207 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2021-03-15T07:30:54.911257 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2021-03-15T07:30:54.911308 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/command/action.rb:34:in `block in call'
E, [2021-03-15T07:30:54.911360 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/2.7.0/benchmark.rb:293:in `measure'
E, [2021-03-15T07:30:54.911411 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/command/action.rb:33:in `call'
E, [2021-03-15T07:30:54.911462 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/cli.rb:52:in `perform'
E, [2021-03-15T07:30:54.911514 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2021-03-15T07:30:54.911567 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/thor-1.1.0/lib/thor/command.rb:27:in `run'
E, [2021-03-15T07:30:54.911618 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/thor-1.1.0/lib/thor/invocation.rb:127:in `invoke_command'
E, [2021-03-15T07:30:54.911669 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/thor-1.1.0/lib/thor.rb:392:in `dispatch'
E, [2021-03-15T07:30:54.911719 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/thor-1.1.0/lib/thor/base.rb:485:in `start'
E, [2021-03-15T07:30:54.911770 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/bin/kitchen:11:in `block in <top (required)>'
E, [2021-03-15T07:30:54.911818 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/lib/kitchen/errors.rb:170:in `with_friendly_errors'
E, [2021-03-15T07:30:54.911869 #7303] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/2.7.0/gems/test-kitchen-2.10.0/bin/kitchen:11:in `<top (required)>'
E, [2021-03-15T07:30:54.911978 #7303] ERROR -- Kitchen: /opt/chef-workstation/bin/kitchen:355:in `load'
E, [2021-03-15T07:30:54.912033 #7303] ERROR -- Kitchen: /opt/chef-workstation/bin/kitchen:355:in `<main>'
E, [2021-03-15T07:30:54.912105 #7303] ERROR -- Kitchen: ----End Backtrace-----
